信頼水準,(%),95%,正規分布の2シグマ相当（95.45%）,正規分布の3シグマ相当（99.73%）

検定方式,片側検定,両側検定,片側検定,両側検定,片側検定,両側検定
87,1.6626,1.9876,1.7091,2.0291,2.8537,3.0885

88,1.6624,1.9873,1.7089,2.0288,2.8529,3.0875

89,1.6622,1.9870,1.7087,2.0285,2.8520,3.0865

90,1.6620,1.9867,1.7084,2.0282,2.8513,3.0855

91,1.6618,1.9864,1.7082,2.0279,2.8505,3.0845

92,1.6616,1.9861,1.7080,2.0275,2.8497,3.0836

93,1.6614,1.9858,1.7079,2.0272,2.8490,3.0827

94,1.6612,1.9855,1.7077,2.0269,2.8482,3.0817

95,1.6611,1.9852,1.7075,2.0267,2.8475,3.0809

96,1.6609,1.9850,1.7073,2.0264,2.8468,3.0800

97,1.6607,1.9847,1.7071,2.0261,2.8462,3.0792

98,1.6606,1.9845,1.7069,2.0258,2.8455,3.0783

99,1.6604,1.9842,1.7068,2.0256,2.8448,3.0775

100,1.6602,1.9840,1.7066,2.0253,2.8442,3.0767

